IPC,L1MISS,L2MISS,L3MISS,Branch,Result
1.2,52.67,52.62,0.01,2051.79,3
1.2,53.28,53.24,0.01,2045.94,3
1.2,53.61,53.56,0.04,2066.94,3
1.2,55.27,55.23,0.04,2106.96,3
1.2,55.54,55.51,0.02,2078.67,3
1.2,55.82,55.78,0.06,2113.14,3
1.2,56.02,55.99,0.09,2114.72,3
1.36,55.48,54.79,0.14,2122.8,3
1.22,66.1,65.16,0.05,2120.74,3
1.2,57.19,57.15,0,2124.71,3
1.21,55.99,55.96,0,2151.81,3
1.2,55.42,55.38,0,2121.2,3
1.2,53.88,53.84,0,2049.24,3
1.2,53.68,53.63,0,2060.85,3
2.34,0.08,0.06,0,2029.41,0
2.35,0.09,0.06,0,2058.36,0
2.35,0.07,0.05,0,2038.64,0
2.35,0.08,0.05,0,2059.7,0
2.35,0.08,0.05,0,2065.3,0
2.35,0.09,0.06,0,1971.83,0
2.35,0.08,0.05,0,2062.78,0
2.35,0.08,0.05,0,2064.37,0
2.35,0.07,0.05,0,2089.46,0
2.35,0.08,0.06,0,2037.66,0
2.34,0.12,0.07,0,2039.83,0
2.34,0.1,0.06,0,1975.08,0
2.35,0.1,0.07,0,2066.26,0
2.34,0.21,0.13,0,2074.42,0
2.34,0.17,0.11,0,2064.41,0
2.35,0.09,0.06,0,2065.83,0
2.34,0.12,0.08,0,2062.46,0
2.34,0.15,0.1,0,2059.63,0
2.34,0.14,0.09,0,2062.45,0
2.34,0.17,0.11,0,2062.12,0
2.34,0.17,0.11,0,2060.65,0
2.34,0.15,0.1,0,2062.41,0
2.34,0.18,0.12,0,2060.21,0
0.82,0.18,0.12,0,1334.93,0
2.33,0.22,0.15,0,2082.15,0
2.32,0.31,0.2,0,2030.29,0
2.32,0.3,0.19,0,2049.65,0
2.33,0.27,0.17,0,2028.42,0
2.32,0.29,0.18,0,2003.39,0
2.32,0.29,0.18,0,2032.76,0
2.32,0.28,0.18,0,2004.48,0
2.32,0.29,0.19,0,2030.57,0
2.34,0.17,0.11,0,2036.4,0
2.34,0.1,0.07,0,2017.19,0
2.35,0.08,0.05,0,2041.9,0
2.34,0.09,0.06,0,2042.85,0
2.34,0.08,0.06,0,2029.41,0
2.35,0.09,0.06,0,2058.36,0
2.35,0.07,0.05,0,2038.64,0
2.35,0.08,0.05,0,2059.7,0
2.35,0.08,0.05,0,2065.3,0
2.35,0.09,0.06,0,1971.83,0
2.35,0.08,0.05,0,2062.78,0
2.35,0.08,0.05,0,2064.37,0
2.35,0.07,0.05,0,2089.46,0
2.35,0.08,0.06,0,2037.66,0
2.34,0.12,0.07,0,2039.83,0
2.34,0.1,0.06,0,1975.08,0
2.35,0.1,0.07,0,2066.26,0
2.34,0.21,0.13,0,2074.42,0
2.34,0.17,0.11,0,2064.41,0
2.35,0.09,0.06,0,2065.83,0
2.34,0.12,0.08,0,2062.46,0
2.34,0.15,0.1,0,2059.63,0
2.34,0.14,0.09,0,2062.45,0
2.34,0.17,0.11,0,2062.12,0
2.34,0.17,0.11,0,2060.65,0
2.34,0.15,0.1,0,2062.41,0
2.34,0.18,0.12,0,2060.21,0
0.82,0.18,0.12,0,1334.93,0
2.33,0.22,0.15,0,2082.15,0
2.32,0.31,0.2,0,2030.29,0
2.32,0.3,0.19,0,2049.65,0
2.33,0.27,0.17,0,2028.42,0
2.32,0.29,0.18,0,2003.39,0
2.32,0.29,0.18,0,2032.76,0
2.32,0.28,0.18,0,2004.48,0
2.32,0.29,0.19,0,2030.57,0
2.34,0.17,0.11,0,2036.4,0
2.34,0.1,0.07,0,2017.19,0
2.35,0.08,0.05,0,2041.9,0
2.34,0.09,0.06,0,2042.85,0
2.34,0.08,0.06,0,2029.41,0
2.35,0.09,0.06,0,2058.36,0
2.35,0.07,0.05,0,2038.64,0
2.35,0.08,0.05,0,2059.7,0
2.35,0.08,0.05,0,2065.3,0
2.35,0.09,0.06,0,1971.83,0
2.35,0.08,0.05,0,2062.78,0
2.35,0.08,0.05,0,2064.37,0
2.35,0.07,0.05,0,2089.46,0
2.35,0.08,0.06,0,2037.66,0
2.34,0.12,0.07,0,2039.83,0
2.34,0.1,0.06,0,1975.08,0
2.35,0.1,0.07,0,2066.26,0
2.34,0.21,0.13,0,2074.42,0
2.34,0.17,0.11,0,2064.41,0
2.35,0.09,0.06,0,2065.83,0
2.34,0.12,0.08,0,2062.46,0
2.34,0.15,0.1,0,2059.63,0
2.34,0.14,0.09,0,2062.45,0
2.34,0.17,0.11,0,2062.12,0
2.34,0.17,0.11,0,2060.65,0
2.34,0.15,0.1,0,2062.41,0
2.34,0.18,0.12,0,2060.21,0
0.82,0.18,0.12,0,1334.93,0
2.33,0.22,0.15,0,2082.15,0
2.32,0.31,0.2,0,2030.29,0
